,Description,NaceCode,Age,Number_of_Activities
2812,le commerce de détail de tissus d'habillement et d'ameublement,5241001,,1039
2813,Autres commerces de détail de produits neufs en magasins spécialisés,524,,15
2814,le commerce de détail d'articles de toilette,5233002,,2168
2815,le commerce de détail de prothèses et de véhicules pour invalides,5232003,,274
2816,le commerce de détail d'herboristerie,5232002,,14878
2817,pharmacies,5231001,,114
2818,"Commerce de détail de produits pharmaceutiques et médicaux, de parfumerie et de produits de beauté",523,,31
2819,Autres activités annexes de l'organisation du transport de fret,5229043,,5566
2820,Livraison de fret express,5229042,,6019
2821,"Messageries: l'enlèvement de marchandises et le groupage d'envois individuels pour l'expédition, la distribution et la livraison des marchandises à l'arrivée",5229041,,4794
2822,"Activités des commissionnaires-expéditeurs, etc.",5229033,,1557
2823,Activités des courtiers de transport,5229032,,1666
2824,Activités des commissionnaires de transport qui concluent pour compte propre des contrats de transport de marchandises mais font effectuer le transport par des tiers,5229031,,2054
2825,Agences maritimes,5229021,,401
2826,"Affrètement qui consiste à confier des envois sans groupage préalable à des transporteurs publics (transport ferroviaire, transport par eau, transport aérien ou une combinaison de ces moyens)",5229012,,791
2827,Affrètement maritime,5229011,,910
2828,Agences d'expédition,5229001,,1038
2829,le commerce de détail de conserves de fruits et légumes,5227203,,477
2830,le commerce de détail de condiments et épices,5227202,,782
2831,le commerce de détail de café,5227201,,550
2832,"le commerce de détail de produits laitiers et oeufs, y compris la livraison à domicile",5227101,,92
2833,Autres commerces de détail alimentaires en magasins spécialisés,5227,,1045
2834,le commerce de détail de tabac,5226001,,185
2835,"Chargement, transbordement et déchargement de marchandises et de bagages ailleurs que dans les ports maritimes (manutention routière, ferroviaire, fluviale et sur aéroports)",5224901,,1377
2836,Arrimage et débardage de marchandises,5224102,,628
2837,Chargement et déchargement de marchandises ou de bagages dans les ports maritimes,5224101,,762
2838,"le commerce de détail de pain, pâtisserie et confiserie",5224001,,189
2839,Protection et la lutte contre les incendies,5223002,,634
2840,"le commerce de détail de poissons, crustacés et mollusques",5223001,,718
2841,"Renflouement des navires, services de sauvetage",5222004,,173
2842,"Navigation, pilotage, mouillage",5222003,,123
2843,le commerce de détail de viandes et produits à base de viande exploité par les bouchers/charcutiers,5222001,,5954
2844,Remorquage et le dépannage routier,5221011,,7989
2845,Exploitation de centrales d'appel pour taxis,5221004,,1429
2846,Gardiennage de caravanes durant l'hiver,5221003,,355
2847,"Exploitation d'autoroutes, de tunnels, de ponts, de parcs et emplacements de stationnement de véhicules et de garages pour bicyclettes",5221002,,938
2848,"le commerce de détail de fruits et légumes frais, y compris les pommes de terre",5221001,,408
2849,Commerce de détail alimentaire en magasins spécialisés,522,,36
2850,"le commerce de détail d'une large gamme de produits sans prédominance de l'alimentation, boissons et tabac, tels habillement,meubles,petits appareils,quincaillerie,cosmétique,joaillerie,jouets etc. -",5212201,,81
2851,"grand magasin: commerce de détail d'une large gamme de produits sans prédominance de l'alimentation, boissons et tabac tels habillement,meubles,petits appareils,quincaillerie,cosmétiques,joaillerie,jo",5212101,,4
2852,Autres commerces de détail en magasins non spécialisés sans prédominance alimentaire,5212,,9
2853,autres commerces de détail en magasins non spécialisés à prédominance alimentaire,5211601,,24
2854,supermarchés (surface de vente comprise entre 400 et 2500 m2),5211401,,169
2855,superettes (surface de vente comprise entre 100 et 400 m2),5211301,,77
2856,commerce de détail non spécialisé d'alimentation générale (surface de vente inférieure à 100 m2),5211201,,2582
2857,"le commerce de détail en magasin ou par livraison à domicile de tous produits alimentaires surgelés ou congelés, y compris les crèmes glacées",5211101,,1173
2858,Commerce de détail en magasins non spécialisés à prédominance alimentaire,5211,,8
2859,Exploitation pour compte de tiers d'installations d'entreposage d'oeuvres d'art ou de biens meubles de plus de cinquante ans,5210021,,63
2860,"Exploitation pour cpte de tiers d'install. d'entreposage non frigorifiques (silos, entrepôts, hangars, parcs à conteneurs, citernes, etc.) pour ts types de mchdises, y compris les pdts agricoles",5210011,,1685
2861,"Exploitation pour compte de tiers d'installations d'entreposage frigorifique ou de lieux de stockage réfrigéré pour tous les types de produits, y compris les produits agricoles",5210001,,478
2862,Commerce de détail en magasins non spécialisés,521,,5684
2863,"Commerce de détail, à l'exclusion du commerce de véhicules automobiles et motocycles; réparation d'articles domestiques",52,,20
2864,"le commerce de gros de divers produits et articles sans spécialisation particulière, tel l'approvisionnement des navires p.ex.(shipchandlers)",5170002,,49
2865,"les divers commerces de gros spécialisés ne relevant pas d'une des catégories précédentes (p.ex. le commerce de gros de cordages, de cordes,de ficelles et d'articles similaires, le commerce de gros de",5170001,,6451
2866,le commerce de gros de motoculteurs,5166003,,13
2867,"le commerce de gros de tondeuses à gazon, de tout type",5166002,,24
2868,"commerce de gros de machines, matériels et tracteurs agricoles",5166001,,1444
2869,"Commerce de gros de machines, matériels et tracteurs agricoles",51660,,78
2870,le commerce de gros d'autres machines et équipements n.d.a. utilisés dans le commerce et les services,5165305,,270
2871,"le commerce de gros de jeux automatiques et électroniques pour cafés, casinos, lunaparcs, etc.",5165304,,149
2872,"le commerce de gros d'équipements pour hôtels, cafés et restaurants",5165303,,21
2873,le commerce de gros de machines automatiques de vente de produits,5165302,,8
2874,"le commerce de gros d'équipements de magasin (présentoirs, vitrines amovibles, mannequins, etc.)",5165301,,14
2875,le commerce de gros d'autres machines et équipements n.d.a. utilisés dans l'industrie,5165207,,67
2876,le commerce de gros d'articles de caoutchouc ou en matières plastiques à usage technique,5165206,,15
2877,le commerce de gros d'engrenages et d'organes de transmission,5165205,,6
2878,le commerce de gros de matériel de garage et de soudage,5165204,,12
2879,le commerce de gros d'instruments et d'appareils de mesure et de navigation,5165203,,408
2880,le commerce de gros de robots industriels,5165202,,5
2881,le commerce de gros de matériel de levage et de manutention,5165201,,33
2882,"le commerce de gros d'autres matériels électriques et électroniques, tels les électromoteurs, les transformateurs, les tableaux de commande et les composants électroniques",5165102,,70
2883,"le commerce de gros de fils, de câbles, d'interrupteurs et d'autres matériels d'installation à usage industriel",5165101,,50
2884,Commerce de gros d'autres machines pour l'industrie et le commerce,5165,,5
2885,le commerce de gros de mobilier de bureau,5164003,,79
2886,"le commerce de gros d'autres machines et matériels de bureau tels que machines à écrire, machines à calculer, etc.",5164002,,384
2887,le commerce de gros d'ordinateurs et de matériels périphériques,5164001,,4162
2888,"le commerce de gros de machines pour l'industrie textile et de machines à coudre et à tricoter, commandées par ordinateur",5163002,,103
2889,"le commerce de gros de machines pour l'industrie textile et l'habillement, de machines à coudre et à tricoter",5163001,,4
2890,"Commerce de gros de machines pour l'industrie textile et l'habillement, de machines à coudre et à tricoter",51630,,18
2891,le commerce de gros d'outillage mécanique pour la construction,5162002,,20
2892,"le commerce de gros de matériel de chantier, grues, engins de génie civil, etc.",5162001,,303
2893,Commerce de gros d'équipements pour la construction,51620,,615
2894,le commerce de gros de machines-outils commandées par ordinateur,5161002,,13
2895,le commerce de gros de machines-outils,5161001,,711
2896,Commerce de gros de machines-outils,51610,,60
2897,Commerce de gros d'équipements industriels,516,,23
2898,"le commerce de gros de déchets, de débris et de matériaux de récupération, métalliques et non métalliques",5157001,,47
2899,le commerce de gros d'autres produits intermédiaires n.d.a.,5156203,,138
2900,le commerce de gros de papiers et cartons destinés à faire l'objet d'une transformation ultérieure par l'industrie,5156202,,73
2901,le commerce de gros de matières premières textiles et de fibres textiles,5156201,,88
2902,le commerce de gros de diamants bruts et de diamants façonnés,5156101,,251
2903,le commerce de gros de produits de nettoyage à usage industriel,5155005,,191
2904,le commerce de gros caoutchouc brut,5155004,,22
2905,le commerce de gros de matières plastiques sous formes primaires,5155003,,116
2906,le commerce de gros d'engrais et de produits phytosanitaires à usage agricole,5155002,,941
2907,"le commerce de gros de produits chimiques industriels: aniline,encres d'imprimerie,huiles essentielles,gaz industriels ,colles chimiques,colorants,résine synthétiques,méthanol, paraffine,parfums,essen",5155001,,153
2908,"le commerce de gros de fournitures pour installations sanitaires et chauffage central: tubes, tuyaux, raccords de tuyauterie, robinets, tuyaux en caoutchouc, etc.",5154202,,734
2909,le commerce de gros d'appareils de chauffage central,5154201,,537
2910,le commerce de gros d'ustensiles de ménage métalliques,5154103,,150
2911,"le commerce de gros de quincaillerie d'ameublement et de bâtiment: serrures, clés, charnières, etc.",5154102,,233
2912,"le commerce de gros de quincaillerie générale (clous, fils, visserie, boulonnerie, etc.), d'outils à main (marteaux, scies, tournevis, etc.) et d'outillage électroportatif",5154101,,3488
2913,Commerce de gros de quincaillerie et fournitures pour plomberie et chauffage,5154,,7
2914,le commerce de gros de menuiseries et fermetures de bâtiment autres qu'en bois,5153205,,426
2915,"le commerce de gros d'appareils sanitaires: baignoires, lavabos, cuvettes d'aisance, etc.",5153204,,2727
2916,le commerce de gros de verre plat,5153203,,190
2917,le commerce de gros de peintures et de vernis,5153201,,1252
2918,le commerce de gros de menuiseries et fermetures de bâtiment en bois,5153104,,6104
2919,"le commerce de gros de panneaux, parquets, lambris, etc.",5153103,,429
2920,le commerce de gros de produits de la transformation primaire du bois,5153102,,306
2921,le commerce de gros de bois brut,5153101,,2194
2922,"Commerce de gros de bois, de matériaux de construction et d'appareils sanitaires",5153,,31
2923,le commerce de gros de demi-produits en métaux ferreux et non ferreux,5152003,,114
2924,"le commerce de gros de métaux ferreux et non ferreux sous formes primaires, y compris l'or et les autres métaux précieux",5152002,,87
2925,le commerce de gros de minerais métalliques ferreux et non ferreux,5152001,,184
2926,"le commerce de gros de carburants, graisses, lubrifiants, huiles, etc.",5151003,,1563
2927,le commerce de gros de combustibles nucléaires,5151002,,14
2928,"le commerce de gros de combustibles solides, liquides et gazeux",5151001,,1237
2929,Société privée à responsabilité limitée à finalité sociale,515,,20
2930,les autres commerces de gros d'articles de consommation n.d.a.,5147803,,2255
2931,"le commerce de gros d'ouvrages en bois, en osier ou en liège",5147802,,1928
2932,le commerce de gros d'instruments de musique,5147801,,541
2933,le commerce de gros de maroquinerie et d'articles de voyage,5147701,,85
2934,"le commerce de gros d'articles de sport et de camping, de cycles etde leurs pieces et accessoires, de jeux et de jouets",5147601,,516
2935,"le commerce de gros d'articles de papeterie, de fournitures de bureau et de fournitures scolaires",5147501,,60
2936,"le commerce de gros d'horlogerie, d'articles en métaux précieux et de bijoux",5147401,,473
2937,"le commerce de gros d'appareils photographiques, cinématographiques et d'autres articles d'optique",5147301,,809
2938,"le commerce de gros de meubles, d'appareils ménagers non-électriques et de revêtements de sol, y compris les tapis",5147101,,4078
2939,Autres commerces de gros de biens de consommation,5147,,368
2940,le commerce de gros d'articles d'orthopédie,5146003,,173
2941,le commerce de gros de matériel médiochirurgical et de fournitures dentaires,5146002,,1350
2942,le commerce de gros de produits pharmaceutiques,5146001,,111
2943,le commerce de gros de produits d'hygiène,5145002,,435
2944,le commerce de gros de parfumeries et de cosmétiques,5145001,,500
2945,"le commerce de gros de produits d'entretien et de nettoyage, y compris les poudres de lessive",5144202,,4008
2946,le commerce de gros de papier peints et de revêtements muraux,5144201,,259
2947,le commerce de gros de couverts et d'articles métalliques de table et de cuisine,5144102,,192
2948,le commerce de gros de vaisselle et de verrerie de ménage,5144101,,214
2949,"Commerce de gros de céramique et verrerie, de papiers peints et de produits d'entretien",5144,,5
2950,le commerce de gros de matériels électriques d'installation à usage domestique,5143005,,968
2951,le commerce de gros d'appareils d'éclairage,5143004,,932
2952,"le commerce de gros de disques, de disques compacts,d'audiocassettes et de vidéocassettes enregistrés ou non",5143003,,2328
2953,"le commerce de gros d'appareils audio et vidéo: radio, télévision, chaînes, magnétoscopes, etc.",5143002,,2920
2954,le commerce de gros d'appareils électroménagers,5143001,,3645
2955,le commerce de gros de chaussures,5142201,,48
2956,"le commerce de gros d'accessoires du vêtement tels que gants, cravates, ceintures, parapluies, etc.",5142103,,2582
2957,le commerce de gros d'articles en fourrure,5142102,,677
2958,"le commerce de gros d'articles d'habillement, y compris les vêtements de sport",5142101,,1112
2959,Commerce de gros d'habillement et de chaussures,5142,,6
2960,"le commerce de gros d'articles de mercerie: aiguilles, fils, rubans, etc.",5141005,,2004
2961,"le commerce de gros de bâches, housses, parasols, stores, etc.",5141004,,234
2962,le commerce de gros de linge de maison et de literie,5141003,,3692
2963,le commerce de gros de tissus et d'étoffes,5141002,,1573
2964,le commerce de gros de fils,5141001,,2374
2965,Société anonyme à finalité sociale,514,,76
2966,autres commerces de gros non spécialisés de produits alimentaires,5139201,,29
2967,"le commerce de gros d'une gamme de produits alimentaires surgelés: viandes et charcuteries, volailles et gibiers, poissons et crustacés, fruits et légumes, plats cuisinés, desserts, glaces de consomma",5139101,,33
2968,"Commerce de gros non spécialisé de denrées alimentaires, boissons et tabac",5139,,3
2969,les autres commerces de gros alimentaires spécialisés n.d.a.,5138407,,456
2970,le commerce de gros d'aliments pour animaux domestiques,5138301,,20
2971,commerce de gros de produits à base de pommes de terre,5138201,,502
2972,"le commerce de gros de poissons, crustacés et coquillages",5138101,,7
2973,Autres commerces de gros alimentaires,5138,,4
2974,"le commerce de gros de café, thé, cacao, épices",5137001,,18
2975,"commerce de gros de sucre, chocolat, confiserie",5136001,,409
2976,le commerce de gros de tabac,5135001,,9
2977,"le mélange, la purification et la mise en bouteilles pour compte propre de vins achetés en vrac",5134002,,96
2978,"le commerce de gros de toutes boissons, alcoolisées ou non",5134001,,1762
2979,le commerce de gros d'huiles et de graisses comestibles d'origine animale et végétale,5133201,,14
2980,le commerce de gros d'oeufs et de produits à base d'oeufs,5133102,,202
2981,"Commerce de gros de produits laitiers, oeufs, huiles et graisses comestibles",5133,,317
2982,"commerce de gros de viande et de produits à base de viande, à l'exclusion de viande de volailles et de gibiers",5132101,,36
2983,Commerce de gros de viande et de produits à base de viande,5132,,142
2984,"commerce de gros de fruits et de légumes frais et en l'état, y compris les pommes de terre",5131001,,68
2985,Société en commandite par actions à finalité sociale,513,,6532
2986,commerce de gros de tabac non manufacturé,5125001,,260
2987,le commerce de gros de cuirs et de peaux,5124001,,493
2988,commerce de gros d'animaux vivants,5123001,,2799
2989,commerce de gros de fleurs et plantes,5122001,,114
2990,le commerce de gros d'aliments pour animaux de ferme,5121005,,210
2991,le commerce de gros de bulbes de tulipes,5121004,,2468
2992,le commerce de gros de pommes de terre de semence,5121003,,99
2993,le commerce de gros d'huiles et de graisses non comestibles,5121002,,177
2994,"commerce de gros de céréales, semences et aliments pour animaux",5121001,,686
2995,Société en commandite simple à finalité sociale,512,,42
2996,intermédiaires non spécialisés du commerce,5119001,,642
2997,autres intermédiaires spécialisés du commerce n.d.a.,5118001,,213
2998,intermédiaires du commerce en denrées alimentaires et en tabac,5117001,,75
2999,intermédiaires du commerce en fourrures,5116002,,143
3000,"intermédiaires du commerce en textiles, habillement, chaussures et articles en cuir",5116001,,954
3001,"intermédiaires du commerce en articles de sport et matériel de camping, jeux et jouets",5115009,,439
3002,"intermédiaires du commerce en montres, articles en métaux précieux et bijoux",5115008,,401
3003,"intermédiaires du commerce en articles de papeterie, journaux, livres et magazines",5115007,,377
3004,"intermédiaires du commerce en parfums, cosmétiques, articles de toilette et produits de nettoyage",5115005,,676
3005,"intermédiaires du commerce en articles en porcelaine, verrerie, papiers peints et revêtements de sol",5115004,,496
3006,"intermédiaires du commerce en fournitures pour plomberie, matériels d'installation électrique à usage domestique et installations de chauffage",5115003,,992
3007,"intermédiaires du commerce en appareils audio-vidéo, matériel photographique et cinématographique et articles d'optique",5115002,,601
3008,"intermédiaires du commerce en meubles, articles de ménage et quincaillerie",5115001,,904
3009,intermédiaires du commerce en machines et équipements utilisés dans le secteur de services,5114006,,568
3010,"intermédiaires du commerce en matériel électrique et électronique, y compris le matériel d'installation à usage industriel",5114005,,1453
3011,"intermédiaires du commerce en machines, tracteurs et matériel agricoles",5114004,,397
3012,intermédiaires du commerce en machines à coudre et machines et métiers à bonneterie,5114003,,54
3013,intermédiaires du commerce en machines pour la construction,5114002,,418
3014,"intermédiaires du commerce en machines, équipements industriels et commerciaux, navires et avions",5114001,,297
3015,intermédiaires du commerce en articles sanitaires,5113003,,675
3016,intermédiaires du commerce en peintures et vernis,5113002,,530
3017,intermédiaires du commerce en bois et matériaux de construction,5113001,,1237
3018,"les intermédiaires du commerce en engrais, produits phytosanitaires et produits chimiques à usage agricole",5112002,,162
3019,"intermédiaires du commerce en combustibles, minéraux, métaux et produits chimiques",5112001,,206
3020,"intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et demi-produits associés",5111001,,43
3021,Location d'avions avec pilote,5110015,,945
3022,"Excursions aériennes, les baptêmes de l'air, etc.",5110014,,1818
3023,Exploitation d'avions-taxis,5110013,,373
3024,"Vols par charters, réguliers ou non",5110012,,222
3025,Transport aérien non régulier de personnes,5110011,,575
3026,Transport aérien de passagers sur des lignes régulières et selon des horaires réguliers,5110001,,341
3027,Société en nom collectif à finalité sociale,511,,94917
3028,"Commerce de gros et intermédiaires du commerce, à l'exclusion du commerce en véhicules automobiles et motocycles",51,,12
3029,le commerce de détail de lubrifiants et de produits de refroidissement pour véhicules automobiles,5050002,,1025
3030,le commerce de détail de carburants (y compris le GPL) pour véhicules automobiles et motocycles,5050001,,931
3031,l'entretien et la réparation de cyclomoteurs,5040009,,666
3032,l'entretien et la réparation de motocycles,5040008,,2320
3033,le commerce de détail de pièces et d'accessoires de motocycles,5040007,,696
3034,"le commerce de détail de cyclomoteurs, neufs ou usagés",5040006,,637
3035,"le commerce de détail de motocycles, neufs ou usagés",5040005,,1368
3036,le commerce de gros de pièces et d'accessoires de motocycles,5040004,,499
3037,"le commerce de gros de cyclomoteurs, neufs ou usagés",5040003,,394
3038,"commerce de gros de motocycles, neufs ou usagés",5040002,,1208
3039,"l'intermédiation de commerce de motocycles, neufs ou usagés, y compris les cyclomoteurs",5040001,,1670
3040,le commerce de détail spécialisé dans la vente d'équipements automobiles sur catalogue,5030203,,304
3041,commerce de détail de pneumatiques,5030202,,1153
3042,"commerce de détail d'accessoires, de pièces détachées et d'équipements divers pour véhicules automobiles, y compris la vente de détail de pièces détachées et d'équipements automobiles d'occasion",5030201,,9157
3043,le commerce de gros de pneumatiques,5030102,,683
3044,"le commerce de gros d'accessoires, de pièces détachées et d'équipements divers pour véhicules automobiles, y compris la vente de gros de pièces détachées et d'équipements automobiles d'occasion",5030101,,998
3045,Commerce d'équipements automobiles,5030,,28
3046,le remorquage et le dépannage routier,5020006,,2277
3047,"le montage de pièces et d'accessoires, y compris les travaux de transformation",5020005,,1722
3048,"l'entretien courant des véhicules automobiles: lavage, traitement antirouille, vidange, réparation, pose ou remplacement de pneumatiques et de chambres à air, réparation de pare-brises et de vitres, e",5020004,,8398
3049,la révision du moteur des véhicules automobiles,5020003,,12276
3050,réparation de la carrosserie (y compris la peinture et la peinture au pistolet),5020002,,20722
3051,"la réparation de véhicules automobiles: réparation de parties mécaniques, réparation électrique",5020001,,4982
3052,"le commerce de véhicules neufs ou usagés pour le camping tels que caravanes, camping cars, etc.",5010402,,678
3053,le commerce de remorques et semi-remorques neuves ou usagés,5010401,,5931
3054,"commerce de détail d'autobus, autocars, minibus, motorhomes, etc., neufs ou usagés",5010303,,1121
3055,"commerce de détail de camions, tracteurs routiers, camionnettes, véhicules automobiles tous terrains (p.ex. jeeps), etc., neufs ou usagés",5010302,,1460
3056,"commerce de détail de véhicules automobiles pour le transport des personnes, y compris les véhicules automobiles spéciaux (p.ex. ambulances), neufs ou usagés",5010301,,9213
3057,"intermédiaires du commerce en autobus, autocars, minibus, motorhomes, etc., neufs ou usagés",5010203,,475
3058,"intermédiaires du commerce en camions, tracteurs routiers, camionnettes, véhicules automobiles tous terrains (p.ex. jeeps), etc, neufs ou usagés",5010202,,648
3059,"intermédiaires du commerce en véhicules automobiles pour le transport des personnes, y compris les véhicules automobiles spéciaux (p.ex. ambulances), neufs ou usagés",5010201,,846
3060,"commerce de gros d'autobus, autocars, minibus, motorhomes, etc., neufs ou usagés",5010103,,566
3061,"commerce de gros de camions,tracteurs routiers,camionnettes, véhicules automobiles tous terrains (p.ex. jeeps), etc., neufs ou usagés",5010102,,801
3062,"commerce de gros de véhicules automobiles pour le transport des personnes, y compris les véhicules automobiles spéciaux (p.ex. ambulances), neufs ou usagés",5010101,,6974
3063,"Exploitation de bateaux d'excursion, de croisière ou de tourisme",5010001,,996
3064,Commerce des véhicules automobiles,5010,,3448
3065,"Commerce, entretien et réparation de véhicules automobiles et de motocycles; commerce de détail de carburants",50,,22
3066,Exploitation de stations de pompage,4950002,,758
3067,"Transport de gaz, de liquides et d'autres substances, par conduites",4950001,,79
3068,Livraison de meubles et équipements ménagers,4942003,,11495
3069,Garde-meubles,4942002,,2056
3070,"Déménagement de mobilier de particuliers, de bureaux, d'ateliers ou d'usines",4942001,,3757
3071,Location de camions avec conducteur,4941011,,3000
3072,Transport de marchandises par véhicules à traction humaine ou animale,4941004,,1278
3073,"Transport de béton, prêt à l'emploi, non fabriqué par l'unité même",4941003,,2350
3074,"Transport de marchandises par route : transport de bois de sciage, de bétail, de voit., de déchets, transp. frigorifique, transp. lourd international, transp. en vrac, y compris par camions-citernes",4941001,,8344
3075,Organisation de covoiturage et d'autres formes de transport en commun non public de personnes,4939011,,607
3076,Transport de personnes par véhicules à traction animale,4939002,,703
3077,"Autres transports routiers de passagers, non réguliers: transports à la demande, excursions touristiques par autocar ou autobus, etc.",4939001,,1710
3078,Location de voitures particulières avec chauffeur,4932002,,7437
3079,Exploitation de taxis,4932001,,2630
3080,"Exploitation d'autobus scolaires, de navettes vers les aéroports et les gares, le transport de personnel, etc.",4931012,,610
3081,"Transport interurbain de voyageurs, par autocar ou tramway, sur des lignes déterminées et conformément à un horaire établi",4931011,,711
3082,Maisons de ventes aux enchères d'oeuvres d'art ou de biens meubles de plus de cinquante ans dont l'estimation du prix maximal de vente est d'un montant égal ou supérieur à 10 000 euros,4799002,,100
3083,"Activité de vente aux enchères au détail sur Internet d'oeuvres d'art ou de biens meubles de plus de cinquante ans, dont l'estimation du prix max de vente est d'un montant égal ou supérieur à 10 000€",4791005,,119
3084,Activités de vente aux enchères au détail sur Internet,4791004,,795
3085,Commerce de détail de tous types de produits par Internet (e-commerce),4791003,,43062
3086,Vente direct par téléphone ou par le truchement de la radio ou de la télévision,4791002,,1116
3087,"Commerce de détail de tous types de produits par correspondance. Les produits et articles sont expédiés à l'acheteur qui fait son choix au départ de publicités, catalogues spécialisés ou non, etc.",4791001,,9864
3088,Commerce de détail d'habillement et d'articles textiles sur marchés et éventaires,4782001,,1455
3089,Commerce de détail alimentaire sur marchés et éventaires,4781001,,2853
3090,"Commerce de détail de biens de récupération de toute nature, exercé dans des magasins qui appartiennent à des centres de récupération",4779303,,312
3091,Commerce de détail de livres d'occasion,4779301,,2086
3092,Commerce de détail en magasin ou en galerie d'art commerciale de biens meubles de plus de cinquante ans dont le prix de mise en vente est d'un montant égal ou supérieur à 10 000 euros,4779102,,258
3093,Commerce de détail d'antiquités et objets d'art anciens,4779101,,7503
3094,Commerce de détail spécialisé d'articles pyrotechniques,4778912,,69
3095,Commerce de détail spécialisé de produits explosifs,4778911,,36
3096,Commerce de détail d'articles n.d.a. autres que produits alimentaires,4778902,,8588
3097,"Commerce de détail de ficelles, de cordes et de cordages",4778901,,593
3098,"Commerce de détail de berceaux, de sièges de sécurité pour enfants et d'autres articles de puériculture",4778802,,1334
3099,Commerce de détail de voitures d'enfant,4778801,,1556
3100,Commerce de détail en magasin spécialisé ou en galerie d'art commerciale d'oeuvres d'art de moins de 50 ans dont le prix de mise en vente est d'un montant égal ou supérieur à 10 000 euros,4778702,,292
3101,"Commerce de détail d'art contemporain, de tableaux nouveaux, de reproductions, de cadres, etc.",4778701,,6230
3102,"Commerce de détail de bijouterie fantaisie, de gadgets, etc.",4778602,,38453
3103,"Commerce de détail de souvenirs, d'objets artisanaux et d'articles religieux",4778601,,5828
3104,Commerce de détail de cycles,4778501,,2426
3105,Commerce de détail de produits de nettoyage,4778402,,5682
3106,Commerce de détail d'articles de droguerie et de produits d'entretien,4778401,,4365
3107,Commerce de détail d'armes défensives,4778302,,95
3108,Commerce de détail d'armes et de munitions pour la chasse ou le tir au fusil,4778301,,381
3109,"Commerce de détail d'articles d'optique (y compris les lunettes), de photographie (y compris les pellicules) et de précision",4778201,,2824
3110,Commerce de détail de combustibles liquides et gazeux,4778102,,1631
3111,"Commerce de détail de combustibles solides tels que charbon, bois de chauffage, charbon de bois, etc.",4778101,,6500
3112,Commerce de détail d'articles de bijouterie et d'orfèvrerie,4777002,,11451
3113,Commerce de détail de montres et autres articles d'horlogerie,4777001,,4205
3114,Commerce de détail d'animaux de compagnie et de fournitures pour animaux,4776201,,2535
3115,Commerce de détail spécialisé portant sur une large gamme d'articles de jardinage et de produits horticoles (centres de jardinage),4776104,,8070
3116,Commerce de détail de fleurs artificielles et d'articles d'ornementation en fleurs artificielles,4776103,,6215
3117,"Commerce de détail de graines, d'engrais, de produits phytosanitaires, etc.",4776102,,7486
3118,Commerce de détail de fleurs (y compris les fleurs coupées) et de plantes,4776101,,9647
3119,Commerce de détail d'articles de toilette,4775002,,12454
3120,Commerce de détail de parfumerie et de produits de beauté,4775001,,17525
3121,Commerce de détail de prothèses et de véhicules pour invalides,4774003,,827
3122,Commerce de détail d'herboristerie,4774002,,18225
3123,Commerce de détail d'articles médicaux et orthopédiques,4774001,,5918
3124,Pharmacies,4773001,,1571
3125,Commerce de détail de maroquinerie et d'accessoires de voyage en cuir ou en cuir synthétique,4772201,,4463
3126,Commerce de détail de chaussures,4772101,,4191
3127,"Commerce de détail de vêtem. de dessus, y compris les vêtem. de travail, de sport et de cérémonie, en ttes mat. (tissus textiles, cuir, fourrure, etc.) pour homme, dame, enfant et bébé (assort. gén.)",4771601,,6287
3128,"Commerce de détail de chapeaux, gants, cravates, ceintures, parapluies, etc.",4771501,,5535
3129,"Commerce de détail de sous-vêtements, lingerie et de vêtements de bain",4771401,,2792
3130,Commerce de détail de vêtements pour bébés et enfants,4771301,,2691
3131,"Commerce de détail de vêtements de dessus, y compris les vêtements de travail, de sport et de cérémonie, en toutes matières (tissus textiles, étoffes de bonneterie, cuir, fourrure, etc.) pour homme",4771201,,4691
3132,"Commerce de détail de vêtements de dessus, y compris les vêtements de travail, de sport et de cérémonie, en toutes matières (tissus textiles, étoffes de bonneterie, cuir, fourrure, etc.) pour dames",4771101,,5238
3133,Commerce de détail non spécialisé d'articles pyrotechniques,4765003,,51
3134,Commerce de détail non spécialisé de produits explosifs,4765002,,25
3135,Commerce de détail de jeux et jouets,4765001,,3940
3136,"Commerce de détail de bateaux de plaisance, planches à voile, voiles, etc.",4764002,,1119
3137,"Commerce de détail d'articles de sport, de matériel de camping (y compris les tentes) et d'articles pour autres activités de loisir",4764001,,5172
3138,"Commerce de détail de disques, de disques compacts, bandes et cassettes audio ou vidéo, vierges ou enregistrées",4763001,,4505
3139,"Commerce de détail de livres, journaux et périodiques en kiosque",4762002,,2412
3140,"Commerce de détail de livres, journaux et papeterie en magasin spécialisé",4762001,,7542
3141,Commerce de détail d'appareils et articles de ménage ou d'économie domestique n.d.a.,4759903,,6311
3142,Commerce de détail spécialisé en cadeaux portant sur l'équipement du foyer,4759902,,25806
3143,"Commerce de détail d'ouvrages en bois, en liège et en vannerie",4759901,,9485
3144,Commerce de détail d'instruments de musique et de partitions musicales,4759401,,2343
3145,"Commerce de détail d'appareils ménagers non électriques, de coutellerie, de vaisselle, de verrerie, de porcelaine et de poteries",4759301,,9964
3146,Commerce de détail d'appareils d'éclairage,4759201,,14486
3147,"Commerce de détail de matelas, sommiers et autres supports de matelas",4759103,,4664
3148,Commerce de détail de cuisines équipées,4759102,,3819
3149,Commerce de détail de meubles,4759101,,12591
3150,Commerce de détail d'appareils électroménagers,4754001,,9367
3151,Commerce de détail de rideaux,4753011,,4852
